timestamp,event_type,command_id,mode,tx_state,health,alarm,rssi_dbm,snr_db,raw_packet
2026-06-03 17:39:17,STATUS_SENT,0,MTI,Enabled,OK,0,,,"T=STAT,CID=0,MODE=MTI,TX=EN,H=OK,A=0"
2026-06-03 17:41:04,COMMAND_RECEIVED,1,MTI,Enabled,OK,0,-79.00,12.25,"T=CMD,CID=1,TS=1780533664.5532181,MODE=MTI,TX=EN,RSSI=-79.00,SNR=12.25"
2026-06-03 17:41:04,STATUS_SENT,1,MTI,Enabled,OK,0,,,"T=STAT,CID=1,MODE=MTI,TX=EN,H=OK,A=0"
2026-06-03 17:41:14,COMMAND_RECEIVED,2,SARVideo,Enabled,OK,0,-92.00,9.25,"T=CMD,CID=2,TS=1780533674.7068331,MODE=SARV,TX=EN,RSSI=-92.00,SNR=9.25"
2026-06-03 17:41:14,STATUS_SENT,2,SARVideo,Enabled,OK,0,,,"T=STAT,CID=2,MODE=SARV,TX=EN,H=OK,A=0"
2026-06-03 17:41:20,COMMAND_RECEIVED,3,Maritime Large,Enabled,OK,0,-80.00,11.50,"T=CMD,CID=3,TS=1780533679.9758863,MODE=MLV,TX=EN,RSSI=-80.00,SNR=11.50"
2026-06-03 17:41:20,STATUS_SENT,3,Maritime Large,Enabled,OK,0,,,"T=STAT,CID=3,MODE=MLV,TX=EN,H=OK,A=0"
2026-06-03 17:41:23,COMMAND_RECEIVED,4,Maritime Large,Enabled,OK,0,-84.00,11.50,"T=CMD,CID=4,TS=1780533682.89522,MODE=MLV,TX=EN,RSSI=-84.00,SNR=11.50"
2026-06-03 17:41:23,STATUS_SENT,4,Maritime Large,Enabled,OK,0,,,"T=STAT,CID=4,MODE=MLV,TX=EN,H=OK,A=0"
2026-06-03 17:41:25,COMMAND_RECEIVED,5,Maritime Large,Disabled,OK,0,-87.00,7.00,"T=CMD,CID=5,TS=1780533685.1295786,MODE=MLV,TX=DIS,RSSI=-87.00,SNR=7.00"
2026-06-03 17:41:25,STATUS_SENT,5,Maritime Large,Disabled,OK,0,,,"T=STAT,CID=5,MODE=MLV,TX=DIS,H=OK,A=0"
2026-06-03 17:41:28,COMMAND_RECEIVED,6,Maritime Small,Disabled,OK,0,-87.00,11.00,"T=CMD,CID=6,TS=1780533688.2412405,MODE=MSV,TX=DIS,RSSI=-87.00,SNR=11.00"
2026-06-03 17:41:28,STATUS_SENT,6,Maritime Small,Disabled,OK,0,,,"T=STAT,CID=6,MODE=MSV,TX=DIS,H=OK,A=0"
2026-06-03 17:41:30,COMMAND_RECEIVED,7,SARVideo,Disabled,OK,0,-91.00,7.75,"T=CMD,CID=7,TS=1780533689.7753053,MODE=SARV,TX=DIS,RSSI=-91.00,SNR=7.75"
2026-06-03 17:41:30,STATUS_SENT,7,SARVideo,Disabled,OK,0,,,"T=STAT,CID=7,MODE=SARV,TX=DIS,H=OK,A=0"
2026-06-03 17:41:31,COMMAND_RECEIVED,8,SARVideo,Disabled,OK,0,-91.00,11.00,"T=CMD,CID=8,TS=1780533691.2087417,MODE=SARV,TX=DIS,RSSI=-91.00,SNR=11.00"
2026-06-03 17:41:31,STATUS_SENT,8,SARVideo,Disabled,OK,0,,,"T=STAT,CID=8,MODE=SARV,TX=DIS,H=OK,A=0"
