timestamp,event_type,command_id,mode,tx_state,health,alarm,rssi_dbm,snr_db,raw_packet
2026-05-27 19:51:21,COMMAND_RECEIVED,24,MTI,Disabled,OK,0,-99.00,8.50,"T=CMD,CID=24,TS=1779936679.2696846,MODE=MTI,TX=DIS,RSSI=-99.00,SNR=8.50"
2026-05-27 19:51:21,STATUS_SENT,24,MTI,Disabled,OK,0,,,"T=STAT,CID=24,MODE=MTI,TX=DIS,H=OK,A=0"
2026-05-27 19:51:24,COMMAND_RECEIVED,25,SARVideo,Disabled,OK,0,-100.00,8.00,"T=CMD,CID=25,TS=1779936682.8768349,MODE=SARV,TX=DIS,RSSI=-100.00,SNR=8.00"
2026-05-27 19:51:24,STATUS_SENT,25,SARVideo,Disabled,OK,0,,,"T=STAT,CID=25,MODE=SARV,TX=DIS,H=OK,A=0"
2026-05-27 19:51:28,COMMAND_RECEIVED,26,Maritime Large,Disabled,OK,0,-109.00,0.75,"T=CMD,CID=26,TS=1779936686.314042,MODE=MLV,TX=DIS,RSSI=-109.00,SNR=0.75"
2026-05-27 19:51:28,STATUS_SENT,26,Maritime Large,Disabled,OK,0,,,"T=STAT,CID=26,MODE=MLV,TX=DIS,H=OK,A=0"
2026-05-27 19:51:31,COMMAND_RECEIVED,27,Maritime Small,Disabled,OK,0,-108.00,2.50,"T=CMD,CID=27,TS=1779936689.4809165,MODE=MSV,TX=DIS,RSSI=-108.00,SNR=2.50"
2026-05-27 19:51:31,STATUS_SENT,27,Maritime Small,Disabled,OK,0,,,"T=STAT,CID=27,MODE=MSV,TX=DIS,H=OK,A=0"
2026-05-27 19:51:34,COMMAND_RECEIVED,28,Maritime Small,Enabled,OK,0,-102.00,7.25,"T=CMD,CID=28,TS=1779936692.5828998,MODE=MSV,TX=EN,RSSI=-102.00,SNR=7.25"
2026-05-27 19:51:34,STATUS_SENT,28,Maritime Small,Enabled,OK,0,,,"T=STAT,CID=28,MODE=MSV,TX=EN,H=OK,A=0"
2026-05-27 19:51:44,COMMAND_RECEIVED,29,Maritime Small,Disabled,OK,0,-109.00,1.75,"T=CMD,CID=29,TS=1779936702.987419,MODE=MSV,TX=DIS,RSSI=-109.00,SNR=1.75"
2026-05-27 19:51:44,STATUS_SENT,29,Maritime Small,Disabled,OK,0,,,"T=STAT,CID=29,MODE=MSV,TX=DIS,H=OK,A=0"
2026-05-27 19:53:15,COMMAND_RECEIVED,37,Maritime Small,Enabled,OK,0,-115.00,-4.50,"T=CMD,CID=37,TS=1779936793.6377187,MODE=MSV,TX=EN,RSSI=-115.00,SNR=-4.50"
2026-05-27 19:53:15,STATUS_SENT,37,Maritime Small,Enabled,OK,0,,,"T=STAT,CID=37,MODE=MSV,TX=EN,H=OK,A=0"
2026-05-27 19:53:51,COMMAND_RECEIVED,50,MTI,Disabled,OK,0,-99.00,8.50,"T=CMD,CID=50,TS=1779936829.8543255,MODE=MTI,TX=DIS,RSSI=-99.00,SNR=8.50"
2026-05-27 19:53:51,STATUS_SENT,50,MTI,Disabled,OK,0,,,"T=STAT,CID=50,MODE=MTI,TX=DIS,H=OK,A=0"
2026-05-27 19:53:57,COMMAND_RECEIVED,52,Maritime Large,Disabled,OK,0,-88.00,11.75,"T=CMD,CID=52,TS=1779936835.3240397,MODE=MLV,TX=DIS,RSSI=-88.00,SNR=11.75"
2026-05-27 19:53:57,STATUS_SENT,52,Maritime Large,Disabled,OK,0,,,"T=STAT,CID=52,MODE=MLV,TX=DIS,H=OK,A=0"
2026-05-27 19:53:59,COMMAND_RECEIVED,53,Maritime Small,Disabled,OK,0,-88.00,12.25,"T=CMD,CID=53,TS=1779936837.6449478,MODE=MSV,TX=DIS,RSSI=-88.00,SNR=12.25"
2026-05-27 19:53:59,STATUS_SENT,53,Maritime Small,Disabled,OK,0,,,"T=STAT,CID=53,MODE=MSV,TX=DIS,H=OK,A=0"
2026-05-27 19:54:01,COMMAND_RECEIVED,54,Maritime Small,Enabled,OK,0,-71.00,12.50,"T=CMD,CID=54,TS=1779936839.8584821,MODE=MSV,TX=EN,RSSI=-71.00,SNR=12.50"
2026-05-27 19:54:01,STATUS_SENT,54,Maritime Small,Enabled,OK,0,,,"T=STAT,CID=54,MODE=MSV,TX=EN,H=OK,A=0"
2026-05-27 19:54:14,COMMAND_RECEIVED,55,Maritime Small,Enabled,OK,0,-78.00,12.25,"T=CMD,CID=55,TS=1779936852.5333622,MODE=MSV,TX=EN,RSSI=-78.00,SNR=12.25"
2026-05-27 19:54:14,STATUS_SENT,55,Maritime Small,Enabled,OK,0,,,"T=STAT,CID=55,MODE=MSV,TX=EN,H=OK,A=0"
2026-05-27 19:54:16,COMMAND_RECEIVED,56,Maritime Large,Enabled,OK,0,-72.00,13.25,"T=CMD,CID=56,TS=1779936855.2771509,MODE=MLV,TX=EN,RSSI=-72.00,SNR=13.25"
2026-05-27 19:54:16,STATUS_SENT,56,Maritime Large,Enabled,OK,0,,,"T=STAT,CID=56,MODE=MLV,TX=EN,H=OK,A=0"
2026-05-27 19:57:31,COMMAND_RECEIVED,57,MTI,Enabled,OK,0,-49.00,12.50,"T=CMD,CID=57,TS=1779937049.8420115,MODE=MTI,TX=EN,RSSI=-49.00,SNR=12.50"
2026-05-27 19:57:31,STATUS_SENT,57,MTI,Enabled,OK,0,,,"T=STAT,CID=57,MODE=MTI,TX=EN,H=OK,A=0"
2026-05-27 19:57:32,COMMAND_RECEIVED,58,MTI,Enabled,OK,0,-49.00,12.25,"T=CMD,CID=58,TS=1779937050.9694705,MODE=MTI,TX=EN,RSSI=-49.00,SNR=12.25"
2026-05-27 19:57:32,STATUS_SENT,58,MTI,Enabled,OK,0,,,"T=STAT,CID=58,MODE=MTI,TX=EN,H=OK,A=0"
2026-05-27 19:57:34,COMMAND_RECEIVED,59,MTI,Enabled,OK,0,-49.00,12.25,"T=CMD,CID=59,TS=1779937052.66682,MODE=MTI,TX=EN,RSSI=-49.00,SNR=12.25"
2026-05-27 19:57:34,STATUS_SENT,59,MTI,Enabled,OK,0,,,"T=STAT,CID=59,MODE=MTI,TX=EN,H=OK,A=0"
2026-05-27 19:57:35,COMMAND_RECEIVED,60,MTI,Enabled,OK,0,-47.00,12.75,"T=CMD,CID=60,TS=1779937054.0493522,MODE=MTI,TX=EN,RSSI=-47.00,SNR=12.75"
2026-05-27 19:57:35,STATUS_SENT,60,MTI,Enabled,OK,0,,,"T=STAT,CID=60,MODE=MTI,TX=EN,H=OK,A=0"
