timestamp,event_type,command_id,mode,tx_state,health,alarm,rssi_dbm,snr_db,raw_packet
2026-05-07 20:24:12,STATUS_SENT,0,SARVideo,Disabled,OK,0,,,"T=STAT,CID=0,MODE=SARV,TX=DIS,H=OK,A=0"
2026-05-07 20:28:52,COMMAND_RECEIVED,1,MTI,Enabled,OK,0,-77.00,7.00,"T=CMD,CID=1,TS=1778210930.7138755,MODE=MTI,TX=EN,RSSI=-77.00,SNR=7.00"
2026-05-07 20:28:52,STATUS_SENT,1,MTI,Enabled,OK,0,,,"T=STAT,CID=1,MODE=MTI,TX=EN,H=OK,A=0"
2026-05-07 20:29:25,COMMAND_RECEIVED,2,Maritime Large,Enabled,OK,0,-84.00,2.75,"T=CMD,CID=2,TS=1778210963.7816331,MODE=MLV,TX=EN,RSSI=-84.00,SNR=2.75"
2026-05-07 20:29:25,STATUS_SENT,2,Maritime Large,Enabled,OK,0,,,"T=STAT,CID=2,MODE=MLV,TX=EN,H=OK,A=0"
2026-05-07 20:32:03,COMMAND_RECEIVED,9,Maritime Large,Disabled,OK,0,-101.00,-5.50,"T=CMD,CID=9,TS=1778211122.2875764,MODE=MLV,TX=DIS,RSSI=-101.00,SNR=-5.50"
2026-05-07 20:32:03,STATUS_SENT,9,Maritime Large,Disabled,OK,0,,,"T=STAT,CID=9,MODE=MLV,TX=DIS,H=OK,A=0"
2026-05-07 20:32:10,COMMAND_RECEIVED,10,Maritime Large,Enabled,OK,0,-84.00,8.50,"T=CMD,CID=10,TS=1778211129.3226423,MODE=MLV,TX=EN,RSSI=-84.00,SNR=8.50"
2026-05-07 20:32:10,STATUS_SENT,10,Maritime Large,Enabled,OK,0,,,"T=STAT,CID=10,MODE=MLV,TX=EN,H=OK,A=0"
2026-05-07 20:34:36,COMMAND_RECEIVED,16,Maritime Large,Enabled,OK,0,-99.00,-4.25,"T=CMD,CID=16,TS=1778211275.3750708,MODE=MLV,TX=EN,RSSI=-99.00,SNR=-4.25"
2026-05-07 20:34:36,STATUS_SENT,16,Maritime Large,Enabled,OK,0,,,"T=STAT,CID=16,MODE=MLV,TX=EN,H=OK,A=0"
2026-05-07 20:34:42,COMMAND_RECEIVED,17,SARVideo,Enabled,OK,0,-93.00,1.25,"T=CMD,CID=17,TS=1778211280.866954,MODE=SARV,TX=EN,RSSI=-93.00,SNR=1.25"
2026-05-07 20:34:42,STATUS_SENT,17,SARVideo,Enabled,OK,0,,,"T=STAT,CID=17,MODE=SARV,TX=EN,H=OK,A=0"
