timestamp,event_type,command_id,commanded_mode,commanded_tx_state,reported_mode,reported_tx_state,health,alarm,rssi_dbm,snr_db,latency_sec,match,raw_packet
2026-05-05 20:55:42,STATUS_RECEIVED,0,,,SARVideo,Disabled,OK,0,-74.00,12.25,,NO,"T=STAT,CID=0,MODE=SARV,TX=DIS,H=OK,A=0,RSSI=-74.00,SNR=12.25"
2026-05-05 20:56:16,COMMAND_SENT,1,MTI,Enabled,,,,,,,,,"T=CMD,CID=1,TS=1778039776.1955147,MODE=MTI,TX=EN"
2026-05-05 20:56:16,STATUS_RECEIVED,1,MTI,Enabled,MTI,Enabled,OK,0,-70.00,12.75,0.38,YES,"T=STAT,CID=1,MODE=MTI,TX=EN,H=OK,A=0,RSSI=-70.00,SNR=12.75"
2026-05-05 20:56:25,COMMAND_SENT,2,SARVideo,Enabled,,,,,,,,,"T=CMD,CID=2,TS=1778039785.483574,MODE=SARV,TX=EN"
2026-05-05 20:56:25,STATUS_RECEIVED,2,SARVideo,Enabled,SARVideo,Enabled,OK,0,-70.00,12.00,0.39,YES,"T=STAT,CID=2,MODE=SARV,TX=EN,H=OK,A=0,RSSI=-70.00,SNR=12.00"
2026-05-05 20:56:29,COMMAND_SENT,3,Maritime Large,Enabled,,,,,,,,,"T=CMD,CID=3,TS=1778039789.962825,MODE=MLV,TX=EN"
2026-05-05 20:56:30,STATUS_RECEIVED,3,Maritime Large,Enabled,Maritime Large,Enabled,OK,0,-71.00,12.25,0.28,YES,"T=STAT,CID=3,MODE=MLV,TX=EN,H=OK,A=0,RSSI=-71.00,SNR=12.25"
2026-05-05 20:56:32,COMMAND_SENT,4,Maritime Small,Enabled,,,,,,,,,"T=CMD,CID=4,TS=1778039792.3975875,MODE=MSV,TX=EN"
2026-05-05 20:56:32,STATUS_RECEIVED,4,Maritime Small,Enabled,Maritime Small,Enabled,OK,0,-70.00,12.25,0.28,YES,"T=STAT,CID=4,MODE=MSV,TX=EN,H=OK,A=0,RSSI=-70.00,SNR=12.25"
2026-05-05 20:56:34,COMMAND_SENT,5,Maritime Small,Enabled,,,,,,,,,"T=CMD,CID=5,TS=1778039794.560037,MODE=MSV,TX=EN"
2026-05-05 20:56:34,STATUS_RECEIVED,5,Maritime Small,Enabled,Maritime Small,Enabled,OK,0,-71.00,12.75,0.39,YES,"T=STAT,CID=5,MODE=MSV,TX=EN,H=OK,A=0,RSSI=-71.00,SNR=12.75"
2026-05-05 20:56:36,COMMAND_SENT,6,Maritime Small,Disabled,,,,,,,,,"T=CMD,CID=6,TS=1778039796.6888173,MODE=MSV,TX=DIS"
2026-05-05 20:56:37,STATUS_RECEIVED,6,Maritime Small,Disabled,Maritime Small,Disabled,OK,0,-70.00,12.25,0.4,YES,"T=STAT,CID=6,MODE=MSV,TX=DIS,H=OK,A=0,RSSI=-70.00,SNR=12.25"
2026-05-05 20:56:38,COMMAND_SENT,7,Maritime Small,Disabled,,,,,,,,,"T=CMD,CID=7,TS=1778039798.7539635,MODE=MSV,TX=DIS"
2026-05-05 20:56:39,STATUS_RECEIVED,7,Maritime Small,Disabled,Maritime Small,Disabled,OK,0,-70.00,12.00,0.33,YES,"T=STAT,CID=7,MODE=MSV,TX=DIS,H=OK,A=0,RSSI=-70.00,SNR=12.00"
2026-05-05 20:57:17,STATUS_RECEIVED,0,,,Maritime Small,Disabled,OK,0,-70.00,11.75,,NO,"T=STAT,CID=0,MODE=MSV,TX=DIS,H=OK,A=0,RSSI=-70.00,SNR=11.75"
2026-05-05 20:58:40,COMMAND_SENT,8,MTI,Disabled,,,,,,,,,"T=CMD,CID=8,TS=1778039920.5548327,MODE=MTI,TX=DIS"
2026-05-05 20:58:40,STATUS_RECEIVED,8,MTI,Disabled,MTI,Disabled,OK,0,-89.00,7.00,0.23,YES,"T=STAT,CID=8,MODE=MTI,TX=DIS,H=OK,A=0,RSSI=-89.00,SNR=7.00"
2026-05-05 20:58:45,COMMAND_SENT,9,SARVideo,Disabled,,,,,,,,,"T=CMD,CID=9,TS=1778039925.8630784,MODE=SARV,TX=DIS"
2026-05-05 20:58:46,STATUS_RECEIVED,9,SARVideo,Disabled,SARVideo,Disabled,OK,0,-86.00,9.00,0.24,YES,"T=STAT,CID=9,MODE=SARV,TX=DIS,H=OK,A=0,RSSI=-86.00,SNR=9.00"
2026-05-05 20:58:46,COMMAND_SENT,10,Maritime Large,Disabled,,,,,,,,,"T=CMD,CID=10,TS=1778039926.7566197,MODE=MLV,TX=DIS"
2026-05-05 20:58:47,STATUS_RECEIVED,10,Maritime Large,Disabled,Maritime Large,Disabled,OK,0,-87.00,8.00,0.41,YES,"T=STAT,CID=10,MODE=MLV,TX=DIS,H=OK,A=0,RSSI=-87.00,SNR=8.00"
2026-05-05 20:58:47,COMMAND_SENT,11,Maritime Small,Disabled,,,,,,,,,"T=CMD,CID=11,TS=1778039927.884109,MODE=MSV,TX=DIS"
2026-05-05 20:58:48,STATUS_RECEIVED,11,Maritime Small,Disabled,Maritime Small,Disabled,OK,0,-87.00,8.75,0.27,YES,"T=STAT,CID=11,MODE=MSV,TX=DIS,H=OK,A=0,RSSI=-87.00,SNR=8.75"
2026-05-05 20:58:48,COMMAND_SENT,12,Maritime Small,Enabled,,,,,,,,,"T=CMD,CID=12,TS=1778039928.7099469,MODE=MSV,TX=EN"
