timestamp,event_type,command_id,commanded_mode,commanded_tx_state,reported_mode,reported_tx_state,health,alarm,rssi_dbm,snr_db,latency_sec,match,raw_packet
2026-06-03 17:45:01,STATUS_RECEIVED,0,,,Maritime Large,Disabled,OK,0,-51.00,11.75,,NO,"T=STAT,CID=0,MODE=MLV,TX=DIS,H=OK,A=0,RSSI=-51.00,SNR=11.75"
2026-06-03 17:47:16,COMMAND_SENT,1,MTI,Enabled,,,,,,,,,"T=CMD,CID=1,TS=1780534036.7847269,MODE=MTI,TX=EN"
2026-06-03 17:47:22,COMMAND_SENT,2,SARVideo,Enabled,,,,,,,,,"T=CMD,CID=2,TS=1780534042.6502333,MODE=SARV,TX=EN"
2026-06-03 17:47:22,STATUS_RECEIVED,2,SARVideo,Enabled,SARVideo,Enabled,OK,0,-97.00,-5.75,0.29,YES,"T=STAT,CID=2,MODE=SARV,TX=EN,H=OK,A=0,RSSI=-97.00,SNR=-5.75"
2026-06-03 17:47:24,COMMAND_SENT,3,Maritime Large,Enabled,,,,,,,,,"T=CMD,CID=3,TS=1780534044.7820435,MODE=MLV,TX=EN"
2026-06-03 17:47:25,STATUS_RECEIVED,3,Maritime Large,Enabled,Maritime Large,Enabled,OK,0,-91.00,1.50,0.34,YES,"T=STAT,CID=3,MODE=MLV,TX=EN,H=OK,A=0,RSSI=-91.00,SNR=1.50"
2026-06-03 17:47:27,COMMAND_SENT,4,Maritime Small,Enabled,,,,,,,,,"T=CMD,CID=4,TS=1780534047.2082026,MODE=MSV,TX=EN"
2026-06-03 17:47:27,STATUS_RECEIVED,4,Maritime Small,Enabled,Maritime Small,Enabled,OK,0,-94.00,-2.25,0.37,YES,"T=STAT,CID=4,MODE=MSV,TX=EN,H=OK,A=0,RSSI=-94.00,SNR=-2.25"
2026-06-03 17:47:33,COMMAND_SENT,5,Maritime Small,Enabled,,,,,,,,,"T=CMD,CID=5,TS=1780534053.24978,MODE=MSV,TX=EN"
2026-06-03 17:47:35,COMMAND_SENT,6,Maritime Small,Disabled,,,,,,,,,"T=CMD,CID=6,TS=1780534055.936182,MODE=MSV,TX=DIS"
2026-06-03 17:47:36,STATUS_RECEIVED,6,Maritime Small,Disabled,Maritime Small,Disabled,OK,0,-97.00,-5.25,0.33,YES,"T=STAT,CID=6,MODE=MSV,TX=DIS,H=OK,A=0,RSSI=-97.00,SNR=-5.25"
2026-06-03 17:47:37,COMMAND_SENT,7,Maritime Small,Disabled,,,,,,,,,"T=CMD,CID=7,TS=1780534057.2027104,MODE=MSV,TX=DIS"
2026-06-03 17:47:38,COMMAND_SENT,8,MTI,Disabled,,,,,,,,,"T=CMD,CID=8,TS=1780534058.9506474,MODE=MTI,TX=DIS"
2026-06-03 17:47:47,COMMAND_SENT,9,SARVideo,Disabled,,,,,,,,,"T=CMD,CID=9,TS=1780534067.4166834,MODE=SARV,TX=DIS"
