timestamp,event_type,command_id,commanded_mode,commanded_tx_state,reported_mode,reported_tx_state,health,alarm,rssi_dbm,snr_db,latency_sec,match,raw_packet
2026-05-27 19:51:26,COMMAND_SENT,26,Maritime Large,Disabled,,,,,,,,,"T=CMD,CID=26,TS=1779936686.314042,MODE=MLV,TX=DIS"
2026-05-27 19:51:29,COMMAND_SENT,27,Maritime Small,Disabled,,,,,,,,,"T=CMD,CID=27,TS=1779936689.4809165,MODE=MSV,TX=DIS"
2026-05-27 19:51:32,COMMAND_SENT,28,Maritime Small,Enabled,,,,,,,,,"T=CMD,CID=28,TS=1779936692.5828998,MODE=MSV,TX=EN"
2026-05-27 19:51:42,COMMAND_SENT,29,Maritime Small,Disabled,,,,,,,,,"T=CMD,CID=29,TS=1779936702.987419,MODE=MSV,TX=DIS"
2026-05-27 19:52:22,COMMAND_SENT,30,MTI,Disabled,,,,,,,,,"T=CMD,CID=30,TS=1779936742.7069676,MODE=MTI,TX=DIS"
2026-05-27 19:52:34,COMMAND_SENT,31,SARVideo,Disabled,,,,,,,,,"T=CMD,CID=31,TS=1779936754.025919,MODE=SARV,TX=DIS"
2026-05-27 19:52:52,COMMAND_SENT,32,SARVideo,Disabled,,,,,,,,,"T=CMD,CID=32,TS=1779936772.7124634,MODE=SARV,TX=DIS"
2026-05-27 19:52:58,COMMAND_SENT,33,SARVideo,Disabled,,,,,,,,,"T=CMD,CID=33,TS=1779936778.250869,MODE=SARV,TX=DIS"
2026-05-27 19:53:02,COMMAND_SENT,34,Maritime Large,Disabled,,,,,,,,,"T=CMD,CID=34,TS=1779936782.7242246,MODE=MLV,TX=DIS"
2026-05-27 19:53:05,COMMAND_SENT,35,Maritime Small,Disabled,,,,,,,,,"T=CMD,CID=35,TS=1779936785.6705234,MODE=MSV,TX=DIS"
2026-05-27 19:53:11,COMMAND_SENT,36,Maritime Small,Disabled,,,,,,,,,"T=CMD,CID=36,TS=1779936791.1083593,MODE=MSV,TX=DIS"
2026-05-27 19:53:13,COMMAND_SENT,37,Maritime Small,Enabled,,,,,,,,,"T=CMD,CID=37,TS=1779936793.6377187,MODE=MSV,TX=EN"
2026-05-27 19:53:18,COMMAND_SENT,38,MTI,Enabled,,,,,,,,,"T=CMD,CID=38,TS=1779936798.0764275,MODE=MTI,TX=EN"
2026-05-27 19:53:21,COMMAND_SENT,39,SARVideo,Enabled,,,,,,,,,"T=CMD,CID=39,TS=1779936801.880366,MODE=SARV,TX=EN"
2026-05-27 19:53:26,COMMAND_SENT,40,Maritime Large,Enabled,,,,,,,,,"T=CMD,CID=40,TS=1779936806.1055598,MODE=MLV,TX=EN"
2026-05-27 19:53:28,COMMAND_SENT,41,Maritime Small,Enabled,,,,,,,,,"T=CMD,CID=41,TS=1779936808.5065053,MODE=MSV,TX=EN"
2026-05-27 19:53:30,COMMAND_SENT,42,Maritime Small,Enabled,,,,,,,,,"T=CMD,CID=42,TS=1779936810.8350174,MODE=MSV,TX=EN"
2026-05-27 19:53:33,COMMAND_SENT,43,Maritime Small,Disabled,,,,,,,,,"T=CMD,CID=43,TS=1779936813.3502963,MODE=MSV,TX=DIS"
2026-05-27 19:53:35,COMMAND_SENT,44,MTI,Disabled,,,,,,,,,"T=CMD,CID=44,TS=1779936815.816068,MODE=MTI,TX=DIS"
2026-05-27 19:53:38,COMMAND_SENT,45,SARVideo,Disabled,,,,,,,,,"T=CMD,CID=45,TS=1779936818.3505435,MODE=SARV,TX=DIS"
2026-05-27 19:53:40,COMMAND_SENT,46,Maritime Large,Disabled,,,,,,,,,"T=CMD,CID=46,TS=1779936820.858361,MODE=MLV,TX=DIS"
2026-05-27 19:53:43,COMMAND_SENT,47,Maritime Small,Disabled,,,,,,,,,"T=CMD,CID=47,TS=1779936823.1882944,MODE=MSV,TX=DIS"
2026-05-27 19:53:45,COMMAND_SENT,48,Maritime Small,Enabled,,,,,,,,,"T=CMD,CID=48,TS=1779936825.417299,MODE=MSV,TX=EN"
2026-05-27 19:53:47,COMMAND_SENT,49,Maritime Small,Disabled,,,,,,,,,"T=CMD,CID=49,TS=1779936827.6118853,MODE=MSV,TX=DIS"
2026-05-27 19:53:49,COMMAND_SENT,50,MTI,Disabled,,,,,,,,,"T=CMD,CID=50,TS=1779936829.8543255,MODE=MTI,TX=DIS"
2026-05-27 19:53:52,COMMAND_SENT,51,SARVideo,Disabled,,,,,,,,,"T=CMD,CID=51,TS=1779936832.1111343,MODE=SARV,TX=DIS"
2026-05-27 19:53:55,COMMAND_SENT,52,Maritime Large,Disabled,,,,,,,,,"T=CMD,CID=52,TS=1779936835.3240397,MODE=MLV,TX=DIS"
2026-05-27 19:53:55,STATUS_RECEIVED,52,Maritime Large,Disabled,Maritime Large,Disabled,OK,0,-90.00,5.25,0.27,YES,"T=STAT,CID=52,MODE=MLV,TX=DIS,H=OK,A=0,RSSI=-90.00,SNR=5.25"
2026-05-27 19:53:57,COMMAND_SENT,53,Maritime Small,Disabled,,,,,,,,,"T=CMD,CID=53,TS=1779936837.6449478,MODE=MSV,TX=DIS"
2026-05-27 19:53:57,STATUS_RECEIVED,53,Maritime Small,Disabled,Maritime Small,Disabled,OK,0,-82.00,11.25,0.34,YES,"T=STAT,CID=53,MODE=MSV,TX=DIS,H=OK,A=0,RSSI=-82.00,SNR=11.25"
2026-05-27 19:53:59,COMMAND_SENT,54,Maritime Small,Enabled,,,,,,,,,"T=CMD,CID=54,TS=1779936839.8584821,MODE=MSV,TX=EN"
2026-05-27 19:54:00,STATUS_RECEIVED,54,Maritime Small,Enabled,Maritime Small,Enabled,OK,0,-81.00,10.25,0.37,YES,"T=STAT,CID=54,MODE=MSV,TX=EN,H=OK,A=0,RSSI=-81.00,SNR=10.25"
2026-05-27 19:54:12,COMMAND_SENT,55,Maritime Small,Enabled,,,,,,,,,"T=CMD,CID=55,TS=1779936852.5333622,MODE=MSV,TX=EN"
2026-05-27 19:54:12,STATUS_RECEIVED,55,Maritime Small,Enabled,Maritime Small,Enabled,OK,0,-72.00,11.75,0.33,YES,"T=STAT,CID=55,MODE=MSV,TX=EN,H=OK,A=0,RSSI=-72.00,SNR=11.75"
2026-05-27 19:54:15,COMMAND_SENT,56,Maritime Large,Enabled,,,,,,,,,"T=CMD,CID=56,TS=1779936855.2771509,MODE=MLV,TX=EN"
2026-05-27 19:54:15,STATUS_RECEIVED,56,Maritime Large,Enabled,Maritime Large,Enabled,OK,0,-73.00,11.75,0.23,YES,"T=STAT,CID=56,MODE=MLV,TX=EN,H=OK,A=0,RSSI=-73.00,SNR=11.75"
2026-05-27 19:57:29,COMMAND_SENT,57,MTI,Enabled,,,,,,,,,"T=CMD,CID=57,TS=1779937049.8420115,MODE=MTI,TX=EN"
2026-05-27 19:57:30,STATUS_RECEIVED,57,MTI,Enabled,MTI,Enabled,OK,0,-48.00,12.00,0.35,YES,"T=STAT,CID=57,MODE=MTI,TX=EN,H=OK,A=0,RSSI=-48.00,SNR=12.00"
2026-05-27 19:57:30,COMMAND_SENT,58,MTI,Enabled,,,,,,,,,"T=CMD,CID=58,TS=1779937050.9694705,MODE=MTI,TX=EN"
2026-05-27 19:57:31,STATUS_RECEIVED,58,MTI,Enabled,MTI,Enabled,OK,0,-48.00,12.00,0.44,YES,"T=STAT,CID=58,MODE=MTI,TX=EN,H=OK,A=0,RSSI=-48.00,SNR=12.00"
2026-05-27 19:57:32,COMMAND_SENT,59,MTI,Enabled,,,,,,,,,"T=CMD,CID=59,TS=1779937052.66682,MODE=MTI,TX=EN"
2026-05-27 19:57:33,STATUS_RECEIVED,59,MTI,Enabled,MTI,Enabled,OK,0,-48.00,12.00,0.42,YES,"T=STAT,CID=59,MODE=MTI,TX=EN,H=OK,A=0,RSSI=-48.00,SNR=12.00"
2026-05-27 19:57:34,COMMAND_SENT,60,MTI,Enabled,,,,,,,,,"T=CMD,CID=60,TS=1779937054.0493522,MODE=MTI,TX=EN"
2026-05-27 19:57:34,STATUS_RECEIVED,60,MTI,Enabled,MTI,Enabled,OK,0,-47.00,12.25,0.28,YES,"T=STAT,CID=60,MODE=MTI,TX=EN,H=OK,A=0,RSSI=-47.00,SNR=12.25"
