timestamp,event_type,command_id,commanded_mode,commanded_tx_state,reported_mode,reported_tx_state,health,alarm,rssi_dbm,snr_db,latency_sec,match,raw_packet
2026-06-03 17:39:17,STATUS_RECEIVED,0,,,MTI,Enabled,OK,0,-48.00,12.75,,NO,"T=STAT,CID=0,MODE=MTI,TX=EN,H=OK,A=0,RSSI=-48.00,SNR=12.75"
2026-06-03 17:41:04,COMMAND_SENT,1,MTI,Enabled,,,,,,,,,"T=CMD,CID=1,TS=1780533664.5532181,MODE=MTI,TX=EN"
2026-06-03 17:41:04,STATUS_RECEIVED,1,MTI,Enabled,MTI,Enabled,OK,0,-79.00,11.50,0.31,YES,"T=STAT,CID=1,MODE=MTI,TX=EN,H=OK,A=0,RSSI=-79.00,SNR=11.50"
2026-06-03 17:41:14,COMMAND_SENT,2,SARVideo,Enabled,,,,,,,,,"T=CMD,CID=2,TS=1780533674.7068331,MODE=SARV,TX=EN"
2026-06-03 17:41:15,STATUS_RECEIVED,2,SARVideo,Enabled,SARVideo,Enabled,OK,0,-95.00,2.50,0.31,YES,"T=STAT,CID=2,MODE=SARV,TX=EN,H=OK,A=0,RSSI=-95.00,SNR=2.50"
2026-06-03 17:41:19,COMMAND_SENT,3,Maritime Large,Enabled,,,,,,,,,"T=CMD,CID=3,TS=1780533679.9758863,MODE=MLV,TX=EN"
2026-06-03 17:41:20,STATUS_RECEIVED,3,Maritime Large,Enabled,Maritime Large,Enabled,OK,0,-81.00,10.50,0.41,YES,"T=STAT,CID=3,MODE=MLV,TX=EN,H=OK,A=0,RSSI=-81.00,SNR=10.50"
2026-06-03 17:41:22,COMMAND_SENT,4,Maritime Large,Enabled,,,,,,,,,"T=CMD,CID=4,TS=1780533682.89522,MODE=MLV,TX=EN"
2026-06-03 17:41:23,STATUS_RECEIVED,4,Maritime Large,Enabled,Maritime Large,Enabled,OK,0,-87.00,8.75,0.31,YES,"T=STAT,CID=4,MODE=MLV,TX=EN,H=OK,A=0,RSSI=-87.00,SNR=8.75"
2026-06-03 17:41:25,COMMAND_SENT,5,Maritime Large,Disabled,,,,,,,,,"T=CMD,CID=5,TS=1780533685.1295786,MODE=MLV,TX=DIS"
2026-06-03 17:41:25,STATUS_RECEIVED,5,Maritime Large,Disabled,Maritime Large,Disabled,OK,0,-95.00,1.75,0.31,YES,"T=STAT,CID=5,MODE=MLV,TX=DIS,H=OK,A=0,RSSI=-95.00,SNR=1.75"
2026-06-03 17:41:28,COMMAND_SENT,6,Maritime Small,Disabled,,,,,,,,,"T=CMD,CID=6,TS=1780533688.2412405,MODE=MSV,TX=DIS"
2026-06-03 17:41:28,STATUS_RECEIVED,6,Maritime Small,Disabled,Maritime Small,Disabled,OK,0,-87.00,7.25,0.28,YES,"T=STAT,CID=6,MODE=MSV,TX=DIS,H=OK,A=0,RSSI=-87.00,SNR=7.25"
2026-06-03 17:41:29,COMMAND_SENT,7,SARVideo,Disabled,,,,,,,,,"T=CMD,CID=7,TS=1780533689.7753053,MODE=SARV,TX=DIS"
2026-06-03 17:41:30,STATUS_RECEIVED,7,SARVideo,Disabled,SARVideo,Disabled,OK,0,-91.00,4.25,0.26,YES,"T=STAT,CID=7,MODE=SARV,TX=DIS,H=OK,A=0,RSSI=-91.00,SNR=4.25"
2026-06-03 17:41:31,COMMAND_SENT,8,SARVideo,Disabled,,,,,,,,,"T=CMD,CID=8,TS=1780533691.2087417,MODE=SARV,TX=DIS"
2026-06-03 17:41:31,STATUS_RECEIVED,8,SARVideo,Disabled,SARVideo,Disabled,OK,0,-92.00,5.50,0.33,YES,"T=STAT,CID=8,MODE=SARV,TX=DIS,H=OK,A=0,RSSI=-92.00,SNR=5.50"
