timestamp,event_type,command_id,commanded_mode,commanded_tx_state,reported_mode,reported_tx_state,health,alarm,rssi_dbm,snr_db,latency_sec,match,raw_packet
2026-05-08 07:51:34,STATUS_RECEIVED,0,,,Maritime Small,Disabled,OK,0,-48.00,12.50,,NO,"T=STAT,CID=0,MODE=MSV,TX=DIS,H=OK,A=0,RSSI=-48.00,SNR=12.50"
2026-05-08 07:52:25,COMMAND_SENT,1,MTI,Disabled,,,,,,,,,"T=CMD,CID=1,TS=1778251945.5240343,MODE=MTI,TX=DIS"
2026-05-08 07:52:25,STATUS_RECEIVED,1,MTI,Disabled,MTI,Disabled,OK,0,-58.00,12.00,0.33,YES,"T=STAT,CID=1,MODE=MTI,TX=DIS,H=OK,A=0,RSSI=-58.00,SNR=12.00"
2026-05-08 07:52:56,COMMAND_SENT,2,MTI,Disabled,,,,,,,,,"T=CMD,CID=2,TS=1778251976.2377007,MODE=MTI,TX=DIS"
2026-05-08 07:52:56,STATUS_RECEIVED,2,MTI,Disabled,MTI,Disabled,OK,0,-58.00,12.00,0.42,YES,"T=STAT,CID=2,MODE=MTI,TX=DIS,H=OK,A=0,RSSI=-58.00,SNR=12.00"
2026-05-08 07:54:07,COMMAND_SENT,3,SARVideo,Disabled,,,,,,,,,"T=CMD,CID=3,TS=1778252047.7801187,MODE=SARV,TX=DIS"
2026-05-08 07:54:21,COMMAND_SENT,4,SARVideo,Enabled,,,,,,,,,"T=CMD,CID=4,TS=1778252061.696443,MODE=SARV,TX=EN"
2026-05-08 07:54:37,STATUS_RECEIVED,3,SARVideo,Disabled,SARVideo,Disabled,OK,0,-63.00,12.50,29.35,YES,"T=STAT,CID=3,MODE=SARV,TX=DIS,H=OK,A=0,RSSI=-63.00,SNR=12.50"
2026-05-08 07:54:37,STATUS_RECEIVED,4,SARVideo,Enabled,SARVideo,Enabled,OK,0,-63.00,12.75,15.55,YES,"T=STAT,CID=4,MODE=SARV,TX=EN,H=OK,A=0,RSSI=-63.00,SNR=12.75"
2026-05-08 07:55:00,COMMAND_SENT,5,Maritime Large,Enabled,,,,,,,,,"T=CMD,CID=5,TS=1778252100.837305,MODE=MLV,TX=EN"
2026-05-08 07:55:23,COMMAND_SENT,6,SARVideo,Enabled,,,,,,,,,"T=CMD,CID=6,TS=1778252123.5718572,MODE=SARV,TX=EN"
2026-05-08 07:55:23,STATUS_RECEIVED,6,SARVideo,Enabled,SARVideo,Enabled,OK,0,-59.00,12.00,0.4,YES,"T=STAT,CID=6,MODE=SARV,TX=EN,H=OK,A=0,RSSI=-59.00,SNR=12.00"
2026-05-08 07:55:28,COMMAND_SENT,7,Maritime Large,Enabled,,,,,,,,,"T=CMD,CID=7,TS=1778252128.3483374,MODE=MLV,TX=EN"
2026-05-08 07:55:28,STATUS_RECEIVED,7,Maritime Large,Enabled,Maritime Large,Enabled,OK,0,-59.00,12.25,0.26,YES,"T=STAT,CID=7,MODE=MLV,TX=EN,H=OK,A=0,RSSI=-59.00,SNR=12.25"
