timestamp,event_type,command_id,commanded_mode,commanded_tx_state,reported_mode,reported_tx_state,health,alarm,rssi_dbm,snr_db,latency_sec,match,raw_packet
2026-05-07 20:24:11,STATUS_RECEIVED,0,,,SARVideo,Disabled,OK,0,-33.00,12.00,,NO,"T=STAT,CID=0,MODE=SARV,TX=DIS,H=OK,A=0,RSSI=-33.00,SNR=12.00"
2026-05-07 20:28:50,COMMAND_SENT,1,MTI,Enabled,,,,,,,,,"T=CMD,CID=1,TS=1778210930.7138755,MODE=MTI,TX=EN"
2026-05-07 20:28:51,STATUS_RECEIVED,1,MTI,Enabled,MTI,Enabled,OK,0,-78.00,12.00,0.32,YES,"T=STAT,CID=1,MODE=MTI,TX=EN,H=OK,A=0,RSSI=-78.00,SNR=12.00"
2026-05-07 20:29:23,COMMAND_SENT,2,Maritime Large,Enabled,,,,,,,,,"T=CMD,CID=2,TS=1778210963.7816331,MODE=MLV,TX=EN"
2026-05-07 20:29:24,STATUS_RECEIVED,2,Maritime Large,Enabled,Maritime Large,Enabled,OK,0,-101.00,-1.50,0.33,YES,"T=STAT,CID=2,MODE=MLV,TX=EN,H=OK,A=0,RSSI=-101.00,SNR=-1.50"
2026-05-07 20:29:39,COMMAND_SENT,3,Maritime Large,Enabled,,,,,,,,,"T=CMD,CID=3,TS=1778210979.8953056,MODE=MLV,TX=EN"
2026-05-07 20:30:20,COMMAND_SENT,4,Maritime Large,Enabled,,,,,,,,,"T=CMD,CID=4,TS=1778211020.3030195,MODE=MLV,TX=EN"
2026-05-07 20:30:34,COMMAND_SENT,5,SARVideo,Enabled,,,,,,,,,"T=CMD,CID=5,TS=1778211034.8252392,MODE=SARV,TX=EN"
2026-05-07 20:30:53,COMMAND_SENT,6,Maritime Small,Enabled,,,,,,,,,"T=CMD,CID=6,TS=1778211053.2355535,MODE=MSV,TX=EN"
2026-05-07 20:31:11,COMMAND_SENT,7,Maritime Small,Disabled,,,,,,,,,"T=CMD,CID=7,TS=1778211071.2744067,MODE=MSV,TX=DIS"
2026-05-07 20:31:50,COMMAND_SENT,8,MTI,Disabled,,,,,,,,,"T=CMD,CID=8,TS=1778211110.5193305,MODE=MTI,TX=DIS"
2026-05-07 20:32:02,COMMAND_SENT,9,Maritime Large,Disabled,,,,,,,,,"T=CMD,CID=9,TS=1778211122.2875764,MODE=MLV,TX=DIS"
2026-05-07 20:32:09,COMMAND_SENT,10,Maritime Large,Enabled,,,,,,,,,"T=CMD,CID=10,TS=1778211129.3226423,MODE=MLV,TX=EN"
2026-05-07 20:32:09,STATUS_RECEIVED,10,Maritime Large,Enabled,Maritime Large,Enabled,OK,0,-82.00,11.25,0.3,YES,"T=STAT,CID=10,MODE=MLV,TX=EN,H=OK,A=0,RSSI=-82.00,SNR=11.25"
2026-05-07 20:32:14,COMMAND_SENT,11,SARVideo,Enabled,,,,,,,,,"T=CMD,CID=11,TS=1778211134.702217,MODE=SARV,TX=EN"
2026-05-07 20:32:44,COMMAND_SENT,12,Maritime Small,Enabled,,,,,,,,,"T=CMD,CID=12,TS=1778211164.2324743,MODE=MSV,TX=EN"
2026-05-07 20:33:25,COMMAND_SENT,13,Maritime Small,Disabled,,,,,,,,,"T=CMD,CID=13,TS=1778211205.645219,MODE=MSV,TX=DIS"
2026-05-07 20:34:01,COMMAND_SENT,14,MTI,Disabled,,,,,,,,,"T=CMD,CID=14,TS=1778211241.1086233,MODE=MTI,TX=DIS"
2026-05-07 20:34:21,COMMAND_SENT,15,Maritime Large,Disabled,,,,,,,,,"T=CMD,CID=15,TS=1778211261.8711526,MODE=MLV,TX=DIS"
2026-05-07 20:34:35,COMMAND_SENT,16,Maritime Large,Enabled,,,,,,,,,"T=CMD,CID=16,TS=1778211275.3750708,MODE=MLV,TX=EN"
2026-05-07 20:34:35,STATUS_RECEIVED,16,Maritime Large,Enabled,Maritime Large,Enabled,OK,0,-102.00,-3.25,0.29,YES,"T=STAT,CID=16,MODE=MLV,TX=EN,H=OK,A=0,RSSI=-102.00,SNR=-3.25"
2026-05-07 20:34:40,COMMAND_SENT,17,SARVideo,Enabled,,,,,,,,,"T=CMD,CID=17,TS=1778211280.866954,MODE=SARV,TX=EN"
2026-05-07 20:34:41,STATUS_RECEIVED,17,SARVideo,Enabled,SARVideo,Enabled,OK,0,-90.00,8.00,0.3,YES,"T=STAT,CID=17,MODE=SARV,TX=EN,H=OK,A=0,RSSI=-90.00,SNR=8.00"
